Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Pololu_Breakout_DRV8825,Pololu_Breakout-16_15.2x20.3mm,129.9,-64.4,90,top
C1,0.01uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,132.588,-67.818,-90,top
C2,1uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,129.286,-67.818,-90,top
C3,0.1uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,187.198,-108.458,180,top
C4,0.1uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,172.72,-124.968,0,top
C5,0.22uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,179.832,-131.064,0,top
C6,0.22uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,191.262,-108.458,-90,top
C7,0.22uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,174.244,-108.204,-90,top
C8,470pf,C_Disc_D5.0mm_W2.5mm_P2.50mm,170.942,-110.744,90,top
C9,0.1uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,172.72,-128.27,0,top
C10,0.1uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,159.258,-128.27,0,top
C11,0.1uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,150.368,-122.682,180,top
C12,0.22uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,167.64,-108.204,-90,top
C13,0.22uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,161.036,-108.204,-90,top
C14,0.22uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,164.338,-108.204,-90,top
C15,0.01uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,197.866,-108.458,-90,top
C16,0.1uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,201.168,-110.998,90,top
C17,10uF,CP_Radial_D5.0mm_P2.00mm,185.166,-47.244,-90,top
C18,0.1uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,192.786,-47.752,-90,top
C19,22uF,C_Disc_D7.5mm_W5.0mm_P5.00mm,156.464,-110.49,-90,top
C20,0.1uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,153.162,-41.656,180,top
C21,47uF,CP_Radial_D8.0mm_P5.00mm,154.686,-45.466,-90,top
C22,0.1uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,194.564,-108.458,-90,top
C23,0.1uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,198.628,-101.854,0,top
C24,0.1uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,181.61,-91.948,180,top
C25,1uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,188.722,-91.948,180,top
C28,0.1uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,181.61,-99.06,180,top
C29,470pf,C_Disc_D5.0mm_W2.5mm_P2.50mm,177.546,-108.204,-90,top
D1,LED,LED_D3.0mm,155.956,-101.6,180,top
D2,LED,LED_D3.0mm,163.068,-101.6,180,top
D3,LED,LED_D3.0mm,122.174,-43.18,0,top
D4,LED,LED_D3.0mm,137.414,-43.18,0,top
D5,D,D_DO-35_SOD27_P7.62mm_Horizontal,125.73,-79.756,180,top
D6,D,D_DO-35_SOD27_P7.62mm_Horizontal,125.73,-88.138,180,top
D7,LED,LED_D3.0mm,127.254,-43.18,0,top
D8,LED,LED_D3.0mm,132.334,-43.18,0,top
D9,LED,LED_D3.0mm,141.732,-101.6,180,top
D10,LED,LED_D3.0mm,148.844,-101.6,180,top
D11,D,D_DO-35_SOD27_P7.62mm_Horizontal,125.73,-82.55,180,top
D12,D,D_DO-35_SOD27_P7.62mm_Horizontal,125.73,-85.344,180,top
D13,D,D_DO-35_SOD27_P7.62mm_Horizontal,166.37,-77.724,180,top
D14,SB230TA,D_DO-41_SOD81_P7.62mm_Horizontal,198.374,-43.18,-90,top
D15,D_TVS,D_DO-15_P12.70mm_Horizontal,195.072,-43.18,180,top
D16,D,D_DO-35_SOD27_P7.62mm_Horizontal,166.37,-86.36,180,top
F1,Polyfuse,Fuse_BelFuse_0ZRE0055FF_L14.0mm_W4.1mm,205.74,-118.364,90,top
F2,Polyfuse,Fuse_BelFuse_0ZRE0055FF_L14.0mm_W4.1mm,192.532,-98.552,90,top
G***,LOGO,Speeduino logo_sml,153.924,-91.186,0,top
IC3,Trig Cond Socket,DIP-8_W7.62mm_Socket,193,-123.5,90,top
J1,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,198.255,-81.4,180,top
J2,Conn_01x06,PinHeader_1x06_P2.54mm_Vertical,179.578,-64.77,90,top
J3,Conn_01x02,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",205,-49,90,top
J4,Conn_02x20_Counter_Clockwise,IDC-Header_2x20_P2.54mm_Vertical,130.5,-79.74,0,top
J5,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,198.255,-68.7,180,top
J6,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,185.555,-61.08,90,top
J8,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,177.935,-61.08,90,top
JP1,Ignition Voltage,PinHeader_1x03_P2.54mm_Vertical,174.582,-99.378,180,top
JP2,VR-HALL,PinHeader_1x03_P2.54mm_Vertical,204.354,-132.132,-90,top
JP3,VR-HALL,PinHeader_1x03_P2.54mm_Vertical,194.354,-132.08,-90,top
JP4,PULL-UP,PinHeader_1x02_P2.54mm_Vertical,199.39,-128.432,90,top
JP5,PULL-UP,PinHeader_1x02_P2.54mm_Vertical,194.354,-128.27,-90,top
JP12,Jumper_NO_Small,PinHeader_1x02_P2.54mm_Vertical,150.368,-110.998,-90,top
Q1,Q_NMOS_GDS,TO-220-3_Horizontal_TabDown,156.21,-74.168,90,top
Q2,Q_NMOS_GDS,TO-220-3_Horizontal_TabDown,119.38,-113.538,180,top
Q3,Q_NMOS_GDS,TO-220-3_Horizontal_TabDown,156.21,-84.836,90,top
Q4,Q_NMOS_GDS,TO-220-3_Horizontal_TabDown,119.38,-92.202,180,top
Q5,Q_NMOS_GDSD,Vishay_HVM-DIP-3_W7.62mm,166.37,-83.312,180,top
Q6,Q_NMOS_GDSD,Vishay_HVM-DIP-3_W7.62mm,166.37,-74.676,180,top
R1,100k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,154.94,-59.944,-90,top
R2,100k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,123.698,-114.046,90,top
R3,100k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,195.326,-85.09,180,top
R4,100k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,190.246,-80.518,0,top
R5,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,157.226,-65.024,90,top
R6,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,125.984,-114.046,90,top
R7,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,190.246,-87.376,0,top
R8,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,190.246,-82.804,0,top
R9,2.4k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,142.494,-41.402,0,top
R10,2.4k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,142.494,-45.974,0,top
R11,2.4k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,152.146,-98.044,0,top
R12,2.4k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,159.258,-98.044,0,top
R13,100k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,170.18,-66.294,0,top
R14,100k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,175.26,-64.008,180,top
R15,100k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,150.368,-59.944,-90,top
R16,100k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,125.73,-97.028,90,top
R17,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,152.654,-65.024,90,top
R18,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,123.444,-97.028,90,top
R19,100k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,195.326,-75.946,180,top
R20,100k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,190.246,-73.66,0,top
R21,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,190.246,-78.232,0,top
R22,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,190.246,-71.374,0,top
R23,2.4k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,142.494,-43.688,0,top
R24,2.4k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,142.494,-48.26,0,top
R25,2.4k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,137.922,-98.044,0,top
R26,2.4k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,145.034,-98.044,0,top
R27,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,166.624,-101.346,90,top
R28,100k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,159.766,-64.77,0,top
R29,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,173.482,-120.396,90,top
R30,3.9k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,168.91,-101.346,90,top
R31,470R,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,188.468,-111.252,180,top
R32,470R,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,175.768,-115.316,-90,top
R33,2.4k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,171.958,-131.064,0,top
R34,470R,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,171.196,-115.316,-90,top
R35,2.49k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,157.734,-131.064,0,top
R36,2.49k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,153.416,-124.714,0,top
R37,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,178.562,-126.492,0,top
R38,470R,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,164.846,-131.064,0,top
R39,470R,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,155.702,-131.064,180,top
R40,470R,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,158.496,-122.428,180,top
R41,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,204.978,-129.286,90,top
R42,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,188.722,-129.186,90,top
R43,100k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,159.766,-62.484,0,top
R44,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,164.846,-67.056,180,top
R45,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,139.446,-107.95,0,top
R46,120R,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,151.638,-107.95,180,top
R47,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,164.846,-69.342,180,top
R52,2k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,190.246,-69.088,0,top
R53,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,170.18,-59.436,0,top
